feature_idx,f_score,p_value
48,316.40638607079524,0.0
17,287.1221396987155,0.0
263,276.53934007856907,0.0
270,270.31751185513536,0.0
172,235.47074714962764,0.0
283,231.88412747709955,0.0
231,225.079941418199,0.0
90,220.46460183080666,0.0
111,217.43977620503568,0.0
88,210.56947177152148,0.0
249,208.67525513758446,0.0
87,207.64284729847634,0.0
71,207.18979057305228,0.0
141,194.61963074741467,0.0
99,194.40331456732238,0.0
218,189.4345902880832,0.0
46,188.12540673751386,0.0
86,184.40239799850048,0.0
182,174.9982163994792,0.0
234,173.99323788443132,0.0
230,167.69675341553065,0.0
26,166.8447826229953,0.0
265,148.22176173565356,0.0
216,146.0031691255557,0.0
5,145.79132486409816,0.0
41,144.80833584857197,0.0
157,141.19500606111325,0.0
299,138.8429661463965,0.0
63,137.44790691038534,0.0
292,137.3919238412426,0.0
232,136.16118396630262,0.0
10,135.23260651949582,0.0
27,131.11279596436967,0.0
257,130.82526612261864,0.0
125,128.8041330868283,0.0
47,128.59778900532802,0.0
134,128.52960038754136,0.0
76,126.65219639290835,0.0
240,126.45720214779271,0.0
124,123.82047100436316,0.0
14,119.28544193881145,0.0
142,118.28348400219456,0.0
38,116.44172536193658,0.0
24,115.79393078301787,0.0
205,115.59312620214209,0.0
123,113.55687496582459,0.0
59,109.29313226078453,0.0
144,108.66181314168773,0.0
116,106.18251758993415,0.0
113,105.43635824914483,0.0
214,102.90209892351876,0.0
132,102.829693672204,0.0
92,101.29279707386902,0.0
250,100.70105435822451,0.0
222,100.6205124230001,0.0
20,99.53148909330554,0.0
79,99.4279545609917,0.0
255,97.96531682539185,0.0
174,97.34261357388948,0.0
243,96.32448973034002,0.0
198,95.63876324656425,0.0
146,95.08469493879448,0.0
49,95.05598277406364,0.0
85,94.65189809853825,0.0
61,94.54294091996151,0.0
101,94.49370903611825,0.0
9,93.07339617611376,0.0
161,92.71507762771586,0.0
131,92.33574044710683,0.0
206,92.1182893624855,0.0
290,91.81984781230976,0.0
285,91.56608395078973,0.0
247,90.37119490225396,0.0
7,89.84919483599775,0.0
133,89.7242618951791,0.0
162,89.2613660085928,0.0
204,89.06883331702676,0.0
238,87.21179149127296,0.0
6,83.11047383969553,0.0
28,82.21514765031357,0.0
64,81.74897974588835,0.0
181,81.08348331933767,0.0
259,80.00112273571243,0.0
239,79.37129699307548,0.0
293,78.69709047066569,0.0
190,78.07948435661503,0.0
150,76.4952217106602,0.0
73,75.85228605266254,0.0
51,75.50275780498487,0.0
62,75.30140974890746,0.0
236,75.02011687680682,0.0
277,74.76309165436867,0.0
274,73.8396016968751,0.0
242,73.66577130107372,0.0
89,73.55669815725933,0.0
21,72.49273278329551,0.0
55,71.9753896336416,0.0
260,71.48454734772619,0.0
215,71.40413129976719,0.0
148,70.05260123135794,0.0
75,69.97958566769186,0.0
268,69.59350370036559,0.0
117,69.27623351337076,0.0
189,69.22714417485045,0.0
98,66.75129828980309,0.0
34,66.68008596928502,0.0
168,66.51073496145072,0.0
208,66.29679373818426,0.0
140,64.9303130799109,0.0
107,64.68681381768539,1.5e-323
136,64.28180817506787,1.53e-321
69,64.05121578583011,2.0934e-320
114,63.74955197536993,6.40976e-319
19,63.359528202307914,5.3633163e-317
271,63.34707165148811,6.178211e-317
77,63.327387060592685,7.725743e-317
143,61.798216601919826,2.7632216802944e-309
226,61.71154409600118,7.417552113983076e-309
122,61.573079165487215,3.59358538389123e-308
272,61.51561183535354,6.918204516900581e-308
129,61.50708483335849,7.624392794877651e-308
39,61.11272026830201,6.843425641957997e-306
207,60.65858040840963,1.2199826030328542e-303
106,60.02741143277234,1.65367013364358e-300
241,59.882907248322546,8.631933305255306e-300
119,58.42902072054227,1.4742284555770432e-292
43,58.2819876801025,7.9652623798749815e-292
211,57.69579720853726,6.67229114335384e-289
294,57.21162784878103,1.7429242159879761e-286
130,56.98939008794594,2.2465181876307387e-285
121,56.83314345244066,1.3563566468181272e-284
237,56.685390086491445,7.430574229635672e-284
228,56.50834313709349,5.707038023089926e-283
155,56.458543180777056,1.0127722787103446e-282
253,56.126746644968364,4.632544326910376e-281
248,56.07861635088723,8.067838749129751e-281
135,55.71919060454496,5.090674268249522e-279
97,55.05742635102431,1.0577593396090809e-275
95,54.61309777364065,1.7966144678642706e-273
72,54.0706002593515,9.549400639029455e-271
279,53.81321205890335,1.8799961399882372e-269
167,53.47135410720599,9.865358019790196e-268
245,52.64300784758579,1.4677624645710208e-263
147,52.47478822732084,1.0348311938491045e-262
36,52.37401272566658,3.335404594662336e-262
264,52.032707790582066,1.7593492745700087e-260
70,51.947991981714665,4.7098531815859935e-260
100,51.79295507311501,2.856550065089118e-259
53,51.22245621205112,2.1807262356021516e-256
261,50.98787393642889,3.3490493802889276e-255
284,50.87366619619,1.2667525795204583e-254
170,49.46821909757964,1.6735939127802518e-247
196,49.29400830143402,1.281509067105427e-246
200,48.70169417810061,1.3057420511885526e-243
262,47.676822778912666,2.1339504465849656e-238
83,47.391964291261225,6.026871409087902e-237
177,46.21540475494987,6.046212912334047e-231
217,46.09678435812582,2.439576159475047e-230
16,45.811875972968224,6.966359573102653e-229
212,45.71812171840236,2.099932670257223e-228
276,45.695560392454865,2.738637923069454e-228
54,45.30342319402158,2.7725513540401642e-226
33,45.227153730735594,6.809128153712946e-226
50,45.04503055923171,5.822506385913992e-225
65,44.85448981280295,5.502495577212765e-224
154,44.59539526491731,1.1682680137507227e-222
96,44.3403376837885,2.3686552772619053e-221
251,44.16436732755155,1.890520278158791e-220
227,44.007586421357935,1.2037837936818557e-219
44,43.72950750245151,3.214599720966564e-218
295,43.53768657705511,3.10196856436562e-217
4,43.427029991751844,1.1474709661086772e-216
112,43.04948505926989,9.975719114736886e-215
221,43.006729679015606,1.6543953642379564e-214
286,42.77717811218924,2.503105245345751e-213
103,42.38727178900454,2.533319038137741e-211
25,42.03980058435953,1.5556801035461028e-209
110,41.44281578171149,1.8492784322411752e-206
269,41.26591789168427,1.5096391786009952e-205
108,41.15762141488351,5.460950007875879e-205
35,40.91317005964734,9.956771624039738e-204
185,40.69998131203205,1.2536947250994812e-202
163,40.0632753950856,2.4336511793015524e-199
160,39.92492981807725,1.2624523981591985e-198
223,39.55960261067043,9.773959579001675e-197
193,38.870318345905844,3.6086415990061746e-193
171,38.850366000215345,4.577946953281234e-193
287,38.66449518126089,4.201637659929059e-192
29,38.46902346773868,4.3275992631721185e-191
254,37.786465561514575,1.4986576408519098e-187
81,36.28069927660831,9.982547020928338e-180
56,36.228655364977506,1.8621657932195396e-179
115,36.07695602914494,1.1466434101332187e-178
145,35.89066603891149,1.0693640566826544e-177
246,35.78817871425961,3.6537389047658277e-177
15,35.31069194746613,1.122201425964229e-174
105,35.138628585009535,8.848838098841099e-174
139,34.72454421328448,1.2770921808044964e-171
31,34.32318484942701,1.5872425362135988e-169
224,34.13276648562674,1.5660295417606207e-168
60,33.97734752399715,1.0149899812648625e-167
149,33.96328167259125,1.2020700100601831e-167
298,33.707411567637344,2.6102098442464844e-166
199,33.51341127888905,2.69506696358487e-165
278,33.285609591127006,4.183402604538942e-164
194,33.085789027728715,4.640520764786786e-163
183,32.883708866161186,5.293770274779704e-162
91,32.74611525425552,2.7783943420605217e-161
201,32.37943428589617,2.308942116202362e-159
8,32.337333654659815,3.8360704746150703e-159
156,32.06710818372652,9.985236112070462e-158
220,31.94907659079225,4.147724269390634e-157
209,31.81086431010043,2.1986058148499827e-156
213,31.76956035526503,3.6194432361346127e-156
252,31.693531266427687,9.061164535107238e-156
235,31.66349512056921,1.3021036316648624e-155
118,31.65510318390035,1.4409229520808538e-155
52,31.489444506420433,1.064713045164296e-154
84,31.281334368472475,1.3143831529371963e-153
159,30.64467973816941,2.883828714630954e-150
210,30.415712902947988,4.596172833162639e-149
169,30.326832409171224,1.346681272053098e-148
186,29.98262346942981,8.667367411280066e-147
244,29.898482375388603,2.399597655682652e-146
184,29.8869255316039,2.759854385609998e-146
153,29.67068941165547,3.781831387612823e-145
166,29.607856729919497,8.09277951948929e-145
195,29.59950779206139,8.953678151591342e-145
82,29.540154237879516,1.8371026168142428e-144
297,29.52575850909706,2.1869682368798472e-144
233,29.440504558477794,6.140956171257057e-144
179,29.05427073401202,6.611604531466447e-142
197,28.81269268164912,1.2355539080756294e-140
178,28.804543422605768,1.3638385598956486e-140
45,28.52639025836183,3.975280283712976e-139
22,28.5038572850558,5.224423247920336e-139
282,28.106311769912427,6.49097938236878e-137
67,27.913418343523187,6.7432432975012696e-136
229,27.310665909900045,1.0163167432908926e-132
176,26.88799741480813,1.7261560052803324e-130
138,26.750166739410943,9.215929174284504e-130
23,26.421502632575184,5.008199796558545e-128
78,26.39600755754396,6.828223444948319e-128
80,26.07139640312124,3.537961136411484e-126
30,25.966747370392156,1.263557633774977e-125
3,25.710571113019956,2.8523248931046516e-124
0,25.391822017520482,1.3802432364020214e-122
104,25.130623462652817,3.3185596801538504e-121
202,25.05362675427701,8.47448092020472e-121
280,24.995162729234774,1.7270138525012597e-120
102,24.641942689143953,1.2754307009974862e-118
187,24.50280036498501,6.947490313555731e-118
256,24.385805138964123,2.8900064852174816e-117
291,23.775027876348766,4.9413901621267595e-114
2,23.565723507108856,6.340573013236043e-113
158,23.5520539221308,7.490598123206745e-113
94,23.33104086801732,1.1092098418553598e-111
266,23.322340866948203,1.2333706791082304e-111
219,22.98464231355754,7.585185805022483e-110
289,22.893953231747904,2.293219786815161e-109
267,22.877550479848708,2.80125348619185e-109
173,22.703028134978478,2.355522257543099e-108
281,22.701489862465838,2.400150640493355e-108
12,21.5177561677292,4.520171656746993e-102
296,21.183696219336806,2.671231160316169e-100
93,21.15797435873274,3.657026597577347e-100
225,20.914130880489722,7.1850356815833006e-99
151,20.778217152574182,3.7786896930705244e-98
13,20.554992110441734,5.773505501550141e-97
175,20.523730814236224,8.458077595003522e-97
32,20.33918483172108,8.058662196723336e-96
120,19.49622042101461,2.3906060247816428e-91
37,19.166057283049874,1.349674418008396e-89
66,19.161533604393483,1.42636232080705e-89
68,17.946026071561292,4.004654890150443e-83
192,16.912200711829854,1.2149435424849792e-77
275,16.76886578039645,6.987154338443785e-77
165,16.653246790028227,2.8646313808983537e-76
164,16.53905634076664,1.1539921084456346e-75
58,16.222621864801805,5.4794933542812764e-74
127,15.569203604024738,1.5803561750708253e-70
109,15.11377135425849,4.060025900727957e-68
137,14.685273454412973,7.483760819084788e-66
57,14.641559024678774,1.2739425123987592e-65
40,14.587644135761495,2.455058245401483e-65
42,14.377523509164698,3.163319815082969e-64
74,14.22743226422553,1.9623822187680977e-63
273,14.226373225185673,1.987812966711841e-63
258,13.992734123120806,3.401748680053555e-62
1,13.923684400779909,7.871723918684699e-62
128,13.79389480824449,3.80879408797156e-61
288,13.783916333669795,4.299526887266482e-61
180,13.661029371246709,1.912044505995443e-60
191,12.131297378307782,2.131380136902199e-52
11,11.40204598536629,1.4071289318746576e-48
126,11.1762082809977,2.1307117733179208e-47
152,10.962850135338305,2.7681948953737063e-46
188,10.860345919571737,9.479129372668999e-46
203,10.792686119994228,2.135248834289912e-45
18,5.885124754625982,1.906947740433147e-20
