feature_idx,mi_global_score
48,0.3181929982491609
270,0.3049723732024132
17,0.30154701924856475
263,0.2750735363531249
90,0.26941076948129794
172,0.2664514769743218
231,0.2582780190177103
283,0.2517646841887289
88,0.2509563294191781
71,0.23881443569446104
111,0.23822314129600786
249,0.23584652164781517
99,0.22951035651418872
87,0.22788893331518567
86,0.2270852610207954
218,0.21907986870825313
141,0.21849694239241346
46,0.2113143810851965
26,0.21088346611088715
234,0.20860899398000843
230,0.1961150756786343
182,0.19585176035818197
63,0.17641257383578557
292,0.17632554254538357
5,0.17565900580634297
299,0.1735556120824504
41,0.17258489708693237
265,0.1716079282481946
27,0.1695501147246672
157,0.16941636666789206
124,0.1691204044252843
232,0.16857871002343616
47,0.162298958793472
216,0.16114990739686963
134,0.16066314193946107
9,0.15891732877356013
257,0.15867736301282598
125,0.1578035495487935
205,0.15526137417287922
10,0.15219740150851413
142,0.15156146912623392
123,0.14980010034041413
76,0.14875822785252657
240,0.1486732096252874
59,0.14746326354673212
14,0.1468906023796035
24,0.1449635499867079
290,0.14426539228462243
49,0.1431470419215395
38,0.14126937417234142
116,0.13999750405266465
131,0.1380740266931344
144,0.13786305156753587
174,0.13639396777386015
214,0.13448536255502352
20,0.13230252707381895
250,0.13212118905353076
222,0.1307276089429994
7,0.13065558846578185
101,0.1280373469981666
206,0.12656657411639483
146,0.12543061441506076
255,0.12432217156532488
285,0.12423841025008242
92,0.12411153775814832
204,0.12361468412484111
113,0.12272694521274552
247,0.12089474580120951
79,0.120340117421053
6,0.11884583023516315
198,0.11841578866016222
28,0.1176368948382942
132,0.11655122296474563
243,0.11586036107188846
85,0.11472862419294971
161,0.11175370694968523
61,0.11151762529468368
150,0.11050965933785539
277,0.10918142178436474
259,0.10888698200936808
239,0.10866591231557754
21,0.10832551555004555
133,0.10799250056199217
162,0.10790774264071068
293,0.10534152693220955
215,0.10493589010161752
168,0.10437250838769696
238,0.1030530019710656
268,0.10249501561398322
294,0.10144097572815136
55,0.10137966814687394
242,0.10090517857748171
69,0.1005723841863948
260,0.09959012469039585
34,0.09928674247929825
117,0.09881757671096958
51,0.09844673226060063
64,0.09779495440167452
274,0.09682835337980311
181,0.09675649474126402
140,0.09662455816539595
236,0.09624165357046133
89,0.09398011180083721
148,0.09387100424008876
129,0.09372654721049711
190,0.09360248894061751
271,0.0928528521744485
143,0.09093583829486374
207,0.09016453195454055
135,0.08999271613043547
19,0.08981003519734054
208,0.08977583004678547
189,0.08937305260876682
83,0.088715482062383
98,0.0883030944852643
73,0.08822561564031917
228,0.08762332714070142
107,0.08760592035085146
237,0.08706971017728415
136,0.08688188035248023
253,0.08583544375927143
241,0.08566008552510773
62,0.08489558312957657
167,0.08484439153601997
75,0.08455726138271569
39,0.08444382315552579
100,0.08407500536913082
43,0.08389194584259085
106,0.08350514355349192
248,0.08229017425238006
226,0.08157852164623414
114,0.08092208453041794
121,0.0803973368305706
77,0.0803824499835546
130,0.0802300785459269
272,0.07887128657719966
72,0.07877045734306831
264,0.07674618911208597
279,0.07648476969748907
122,0.0757985211490042
119,0.0755984068748834
97,0.07364203711893502
36,0.07331132517765493
211,0.07323509102951054
177,0.07305608784513185
155,0.0722564017961691
95,0.07141975937698675
52,0.07131251520226778
33,0.07101410914416606
56,0.07089651014727583
170,0.07069619275640804
276,0.0694967646810496
196,0.06890660876325061
103,0.06882928175560021
154,0.06874298494771125
200,0.06873557584215595
53,0.06867666362095903
70,0.06842597985222909
262,0.0677855671418004
84,0.06738459925701257
16,0.0662742689056266
213,0.06540630935983938
145,0.06475746184340103
112,0.06432659013577924
227,0.06429316848505895
4,0.06424275014135006
217,0.06415577885804691
147,0.06408111816066064
212,0.06308094456053048
54,0.06267183299727197
185,0.061517406740504654
163,0.06095884538207841
261,0.06080025428660418
50,0.06054616395560464
251,0.06021816313452044
245,0.05968740640586523
246,0.059550801187084446
31,0.0595047400281854
96,0.059242701080783
29,0.0588248807639391
287,0.05870992459483393
224,0.05848752970719051
286,0.05781677241258576
295,0.057749299854846114
35,0.057271431031123754
160,0.05724052823260051
221,0.05717475185977472
44,0.056538814223414224
65,0.05612763778124785
15,0.056047595531330874
252,0.055921234725933466
269,0.054978813550551564
108,0.05479844070793982
139,0.05460997825342906
159,0.053573259877281565
25,0.05239298572909323
105,0.05230252024267168
183,0.052018131917616284
201,0.05177853835651991
220,0.05176057229320197
81,0.05095978490539421
282,0.05079354665890712
3,0.05055223669173481
151,0.04990468338974985
193,0.04930238364706385
171,0.049068573066207044
223,0.04895387602599843
233,0.04874260270864861
45,0.04870167458797159
235,0.04866842747285505
284,0.04864342997642623
194,0.048526826995830774
23,0.048429794590229225
82,0.04831207138716298
254,0.04776809587376718
110,0.047710085653800416
8,0.04702811564945675
298,0.04670513745752558
118,0.04651368029056524
229,0.046205277023096514
209,0.045979866297274796
67,0.04522155734550193
280,0.04508615649025716
158,0.044702111851254944
93,0.04464307750894303
278,0.044599433994625404
169,0.044353361835343996
197,0.0442865765392364
178,0.04418535815958036
291,0.04339772368889472
297,0.04327906501791645
138,0.042589719594358755
42,0.042549047894415715
80,0.041439539316451945
289,0.0413602213233033
187,0.04130637650989133
199,0.041141265060922194
115,0.041132968070006104
256,0.04093830948284083
30,0.04087444205085777
149,0.040782865227846354
210,0.04048481438347373
195,0.04048014997114091
153,0.039423975494554675
0,0.039207458354481695
94,0.03869990012994329
192,0.0385104478241689
60,0.03843504241264517
202,0.03815107713439403
120,0.03803711839661439
22,0.03754499913707532
91,0.037182019368704466
244,0.03632291104245455
166,0.035658674902718346
68,0.03551973488862714
173,0.035502171727946674
78,0.03500462243910807
184,0.034533801033358014
66,0.03442511184879349
175,0.03377940080198982
288,0.033064742470663155
128,0.032772548316710726
186,0.032373124327186975
156,0.03197953880952431
12,0.030535750138195095
179,0.03018030209033551
176,0.029814806556601514
266,0.02981157371866594
13,0.02952718381904873
32,0.029182858590692362
165,0.028837795584871984
137,0.028758670951110066
296,0.028735840765260257
57,0.028669140298438478
225,0.028349693148088217
74,0.027870028035161365
104,0.02697929323334236
191,0.026948831318708066
127,0.026870636352587685
58,0.026226583124285607
102,0.025933458504119322
219,0.025419391182842865
281,0.025289850790944257
40,0.023108688677575095
2,0.02310091663543412
164,0.02246573996618384
109,0.021069600722559034
267,0.02005388321827395
180,0.01900669423193735
37,0.01844976560973821
275,0.0183861594158099
258,0.01667425279264334
126,0.01635524445808967
188,0.015382853236060257
273,0.014477551972680303
1,0.012724475398832702
152,0.01169177394489207
11,0.011597618795800013
203,0.011141320483226469
18,0.007509176303304166
